country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Netherlands,,105000,115000,125000,137000,139000,124000,118000,110000,100000,96000,101000,124000,144000,155000,156000,88900,66300,48500,42100,43900,51700,62400,69900,11400,8790,6890,3830,,,,,,,,,,,,,,,,,,,,11000,4250,,
New Zealand,106,795,367,1860,2070,1610,1220,1530,2000,2080,1870,2390,2710,3910,1590,1310,732,420,323,510,1460,3140,7700,,9430,5060,3550,852,,,,,,,,,,,,,,,,5670,7230,6660,3660,913,1110,,
Nicaragua,205000,198000,204000,206000,210000,205000,204000,213000,229000,,197000,,219000,224000,241000,222000,235000,231000,237000,256000,245000,232000,211000,208000,202000,216000,220000,,,143000,120000,89200,33700,,6440,4880,18700,20400,14400,,28200,,,,,,,,,,
Niger,,,,719000,738000,,,757000,770000,,,804000,,,,,873000,,,980000,1010000,1040000,1100000,,,,,1220000,1260000,1270000,1310000,1290000,1270000,1250000,1230000,1290000,1320000,1350000,1330000,1290000,1230000,1150000,1160000,1230000,1280000,1280000,1300000,1240000,,1650000,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7020000,6560000,,,,6820000,6900000,6980000,6530000,8350000,8350000,8620000,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300,11400,3010,4840,5780,7300,6520,6600,8660,7930,11200,9220,5080,,10400,11400,9920,6140,,1060,781,,
Norway,,9010,6950,,,,1230,1420,4010,5410,3270,6330,7210,,9760,13100,12500,9990,7610,4230,835,133,1090,4140,5030,5770,5650,62000,403,339,564,392,575,0,2220,5950,5550,3510,2630,3170,3420,2070,909,198,350,576,483,177,2,,
Oman,,,,114000,110000,104000,107000,,103000,102000,,103000,103000,103000,96300,97500,89900,89600,96400,98000,99000,99900,98700,90800,89000,85100,75500,73200,65300,58500,54800,50900,51000,55600,,,,,,6080,,3320,1060,761,1660,1630,412,4180,8730,7920,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,69,,,,,,
